city,population
DAVISBORO,"2,010"
COLQUITT,"1,992"
DARIEN,"1,975"
BUTLER,"1,972"
WARRENTON,"1,937"
LITHONIA,"1,924"
TRION,"1,827"
DEMOREST,"1,823"
ELLAVILLE,"1,812"
MAYSVILLE,"1,798"
ARCADE,"1,786"
VARNELL,"1,744"
TWIN CITY,"1,742"
CLARKESVILLE,"1,733"
LUDOWICI,"1,703"
MOUNT ZION,"1,696"
NICHOLSON,"1,696"
GUYTON,"1,684"
ELLIJAY,"1,619"
UNION POINT,"1,617"
LOOKOUT MOUNTAIN,"1,602"
CHESTER,"1,596"
BERKELEY LAKE,"1,574"
LINCOLNTON,"1,566"
TENNILLE,"1,539"
EDISON,"1,531"
ARLINGTON,"1,479"
RICHLAND,"1,473"
EMERSON,"1,470"
MARSHALLVILLE,"1,448"
BALL GROUND,"1,433"
PORTERDALE,"1,429"
WOODBINE,"1,412"
SPARTA,"1,400"
BROOKLET,"1,395"
WILLACOOCHEE,"1,391"
HOSCHTON,"1,377"
WALNUT GROVE,"1,330"
LUMBER CITY,"1,328"
OGLETHORPE,"1,328"
BOSTON,"1,315"
NELSON,"1,314"
PINE MOUNTAIN,"1,304"
BLUE RIDGE,"1,290"
MOUNT AIRY,"1,284"
ENIGMA,"1,278"
ARAGON,"1,249"
OMEGA,"1,221"
CAVE SPRING,"1,200"
BROXTON,"1,189"
ROCHELLE,"1,174"
ZEBULON,"1,174"
ALTO,"1,172"
HOMER,"1,141"
COMER,"1,126"
REMERTON,"1,123"
WINTERVILLE,"1,122"
FORT GAINES,"1,107"
BUCHANAN,"1,104"
RAY CITY,"1,090"
MOUNTAIN CITY,"1,088"
REYNOLDS,"1,086"
SHELLMAN,"1,083"
MCCAYSVILLE,"1,056"
NAHUNTA,"1,053"
JEFFERSONVILLE,"1,035"
MEIGS,"1,035"
BOGART,"1,034"
HAMILTON,"1,016"
ROBERTA,"1,007"
SARDIS,999
HAGAN,996
FRANKLIN,993
IVEY,981
NORMAN PARK,972
TALBOTTON,970
WOODBURY,961
FRANKLIN SPRINGS,952
BACONTON,915
DASHER,912
ETON,910
HOMELAND,910
YOUNG HARRIS,899
HIAWASSEE,880
GREENVILLE,876
CLERMONT,875
LUTHERSVILLE,874
LENOX,873
BOWMAN,862
TUNNEL HILL,856
POULAN,851
CRAWFORD,832
RICEBORO,809
CANON,804
RUTLEDGE,781
PLAINS,776
DOERUN,774
SCREVEN,766
GLENWOOD,747
FLEMINGTON,743
WAVERLY HALL,735
LAKE PARK,733
PATTERSON,730
PINE LAKE,730
TY TY,725
BLYTHE,721
FAIRMOUNT,720
SYCAMORE,711
MILAN,700
NEWBORN,696
ALLENHURST,695
OCHLOCKNEE,676
WHITE,670
ALAPAHA,668
ADRIAN,664
GIBSON,663
COHUTTA,661
NEWTON,654
FLOVILLA,653
BLAIRSVILLE,652
NORTH HIGH SHOALS,652
MCINTYRE,650
WALESKA,644
PORTAL,638
KINGSTON,637
PAVO,627
LEARY,618
MILNER,610
BETHLEHEM,601
UVALDA,598
COLBERT,592
IRWINTON,589
WHITESBURG,588
ARABI,586
COLLINS,584
CARNESVILLE,577
DEXTER,575
SMITHVILLE,575
DUDLEY,571
MORVEN,565
DANIELSVILLE,560
BERLIN,551
DEARING,549
MOUNTAIN PARK,547
BYROMVILLE,546
EAST ELLIJAY,546
TIGNALL,546
RESACA,544
LYERLY,540
CRAWFORDVILLE,534
STILLMORE,532
CADWELL,528
HOBOKEN,528
COOLIDGE,525
BROOKS,524
PINEVIEW,523
WACO,516
HELEN,510
ODUM,504
IDEAL,499
HARRISON,489
OAK PARK,484
MENLO,474
TOOMSBORO,472
WHIGHAM,471
BOWERSVILLE,465
PINEHURST,455
ATTAPULGUS,449
FUNSTON,449
SHILOH,445
OFFERMAN,441
STAPLETON,438
AILEY,432
EPHESUS,427
SUMNER,427
WARM SPRINGS,425
WARWICK,423
PENDERGRASS,422
MANSFIELD,410
LESLIE,409
CENTRALHATCHEE,408
TIGER,408
WOODLAND,408
MORELAND,399
RHINE,394
BARWICK,386
MARTIN,381
AMBROSE,380
SALE CITY,380
BRASWELL,379
CONCORD,375
JENKINSBURG,370
MOLENA,368
SCOTLAND,366
BOSTWICK,365
ARNOLDSVILLE,357
YATESVILLE,357
WILLIAMSON,352
COBBTOWN,351
CHAUNCEY,342
HILTONIA,342
SHARPSBURG,341
DILLARD,339
ILA,337
KEYSVILLE,332
HIGGSTON,323
FARGO,321
WOODVILLE,321
PITTS,320
PLAINVILLE,313
IRON CITY,310
MORGANTON,303
BETWEEN,296
RENTZ,295
GRAHAM,291
BARTOW,286
CECIL,286
WHITE PLAINS,284
SILOAM,282
ELLENTON,281
CLIMAX,280
SASSER,279
GOOD HOPE,274
NEWINGTON,274
TURIN,274
SKY VALLEY,272
MIDVILLE,269
PULASKI,266
GUMBRANCH,264
CARLTON,260
ANDERSONVILLE,255
CARL,255
DAMASCUS,254
OCONEE,252
DENTON,250
SHADY DALE,249
AVERA,246
KITE,241
MORGAN,240
NORWOOD,239
OLIVER,239
DANVILLE,238
GILLSVILLE,235
LEXINGTON,228
BRONWOOD,225
BISHOP,224
MAXEYS,224
PAYNE,218
ROOPVILLE,218
BRINSON,215
MONTROSE,215
AVALON,213
LILLY,213
ARGYLE,212
TAYLORSVILLE,210
ORCHARD HILL,209
GARFIELD,201
SURRENCY,201
MITCHELL,199
RAYLE,199
HULL,198
DE SOTO,195
REBECCA,187
MEANSVILLE,182
TALMO,180
JUNCTION CITY,177
CULLODEN,175
REGISTER,175
BUCKHEAD,171
ALLENTOWN,169
TALLULAH FALLS,168
HARALSON,166
SANTA CLAUS,165
SUMMERTOWN,160
ALSTON,159
PARROTT,158
WOOLSEY,158
GIRARD,156
JAKIN,155
DOOLING,154
NUNEZ,147
ROCKY FORD,144
JACKSONVILLE,140
SHARON,140
CAMAK,138
JERSEY,137
SUNNY SIDE,134
DEEPSTEP,131
RANGER,131
DAISY,129
BELLVILLE,123
VERNONBURG,122
DU PONT,120
VIDETTE,112
GENEVA,105
ALDORA,103
BLUFFTON,103
RIDDLEVILLE,96
MANASSAS,94
LONE OAK,92
GAY,89
TARRY,87
TALKING ROCK,64
REST HAVEN,62
RIVERSIDE,35
EDGE HILL,24
